CustomerID,CustomerGender,CustomerAge,CustomerCity,AnnualIncome,CreditScore,SpendingScore,CustomerCityID
1001,Male,49,Bengaluru,527547.5885,653,78,1
1002,Male,59,Bengaluru,207143.1976,630,63,1
1003,Female,54,Delhi,164423.8457,555,69,4
1004,Female,42,Bengaluru,56220.36443,699,30,1
1005,Female,30,Bengaluru,256194.3619,793,6,1
1006,Female,38,Chennai,475324.8903,635,97,2
1007,Female,45,Chennai,186352.3482,881,2,2
1008,Female,23,Mumbai,414233.1569,852,77,5
1009,Male,59,Chennai,97263.51748,708,22,2
1010,Female,48,Kolkata,179271.2332,669,97,3
1011,Male,55,Bengaluru,194016.5771,618,13,1
1012,Female,73,Bengaluru,227536.1384,614,62,1
1013,Female,54,Delhi,384549.196,711,64,4
1014,Female,34,Mumbai,441207.6896,629,29,5
1015,Male,54,Bengaluru,195955.9211,764,53,1
1016,Male,53,Kolkata,342386.7743,880,36,3
1017,Female,23,Bengaluru,12396.06128,729,18,1
1018,Male,30,Mumbai,243054.5171,803,49,5
1019,Male,37,Mumbai,353525.8767,817,75,5
1020,Female,52,Kolkata,146957.5537,774,84,3
1021,Male,39,Chennai,217461.907,672,87,2
1022,Male,38,Bengaluru,466647.6548,691,37,1
1023,Female,71,Kolkata,36359.20628,669,87,3
1024,Male,31,Mumbai,227040.4915,555,64,5
1025,Female,42,Bengaluru,183013.7351,778,82,1
1026,Male,65,Chennai,496142.1332,623,82,2
1027,Female,65,Kolkata,304101.4516,782,59,3
1028,Male,33,Bengaluru,15305.84287,588,57,1
1029,Female,29,Delhi,90898.14293,684,27,4
1030,Female,24,Chennai,372800.2429,698,35,2
1031,Male,59,Bengaluru,186025.496,562,15,1
1032,Female,40,Bengaluru,424172.7786,774,84,1
1033,Male,52,Chennai,316975.4388,777,97,2
1034,Male,47,Kolkata,245271.891,769,4,3
1035,Female,66,Chennai,54756.27976,755,48,2
1036,Female,62,Delhi,480722.9923,789,30,4
1037,Female,73,Mumbai,243050.2953,575,93,5
1038,Female,23,Mumbai,354943.3271,850,77,5
1039,Female,45,Mumbai,105283.4509,715,97,5
1040,Female,43,Mumbai,266522.7503,639,78,5
1041,Female,21,Mumbai,248583.777,817,4,5
1042,Male,45,Bengaluru,35051.23859,731,78,1
1043,Male,54,Bengaluru,279363.0453,704,39,1
1044,Female,22,Kolkata,498781.9307,712,11,3
1045,Female,26,Delhi,288846.6029,713,97,4
1046,Female,72,Kolkata,348408.8613,874,34,3
1047,Female,29,Bengaluru,516995.9529,751,100,1
1048,Female,65,Mumbai,54666.06526,761,46,5
1049,Female,34,Chennai,69809.65753,633,98,2
1050,Female,26,Chennai,371636.6915,632,48,2
1051,Female,66,Kolkata,238964.9748,763,62,3
1052,Male,50,Bengaluru,299609.0836,701,42,1
1053,Female,33,Kolkata,361244.6459,784,37,3
1054,Male,47,Mumbai,187182.7663,854,36,5
1055,Female,59,Kolkata,513210.2881,692,71,3
1056,Male,52,Delhi,258490.1227,751,99,4
1057,Female,55,Bengaluru,443558.7535,648,41,1
1058,Male,74,Bengaluru,121992.2184,865,88,1
1059,Female,32,Mumbai,129229.7353,863,25,5
1060,Male,31,Bengaluru,351473.4476,622,8,1
1061,Male,25,Mumbai,365803.058,817,52,5
1062,Male,75,Delhi,42277.72636,868,20,4
1063,Female,39,Bengaluru,675461.7357,849,59,1
1064,Female,46,Bengaluru,139008.5462,565,37,1
1065,Male,29,Bengaluru,255913.6516,665,47,1
1066,Male,34,Chennai,625214.1659,632,14,2
1067,Female,54,Mumbai,300855.7861,670,96,5
1068,Female,36,Delhi,61533.99547,736,40,4
1069,Male,52,Chennai,619650.7261,687,48,2
1070,Female,28,Mumbai,24160.45218,561,70,5
1071,Male,18,Bengaluru,119798.585,892,37,1
1072,Female,45,Bengaluru,116425.7192,724,12,1
1073,Female,48,Kolkata,235753.1848,583,100,3
1074,Female,50,Mumbai,432140.6847,760,18,5
1075,Male,43,Delhi,160744.0503,555,59,4
1076,Male,27,Chennai,264898.0293,712,68,2
1077,Female,68,Delhi,440550.5344,880,87,4
1078,Male,67,Bengaluru,66682.56943,873,19,1
1079,Female,59,Chennai,196636.8508,715,9,2
1080,Female,74,Chennai,277507.0036,897,39,2
1081,Male,62,Delhi,459226.6407,801,32,4
1082,Male,45,Mumbai,143977.3393,600,56,5
1083,Male,33,Kolkata,211403.4684,768,78,3
1084,Female,20,Chennai,39947.04454,807,57,2
1085,Female,61,Delhi,544422.1798,626,11,4
1086,Male,32,Mumbai,537240.108,654,56,5
1087,Female,49,Bengaluru,542745.9601,742,73,1
1088,Female,66,Chennai,560856.4185,738,40,2
1089,Female,36,Delhi,497387.3262,805,29,4
1090,Female,55,Delhi,125660.3599,808,44,4
1091,Female,35,Delhi,77749.71303,625,50,4
1092,Male,22,Kolkata,316583.7463,695,52,3
1093,Male,59,Kolkata,252129.1836,656,2,3
1094,Female,21,Mumbai,527125.1728,678,62,5
1095,Female,74,Bengaluru,341603.312,859,54,1
1096,Male,51,Mumbai,98951.52835,616,45,5
1097,Female,22,Delhi,192009.5051,861,23,4
1098,Female,35,Mumbai,203632.4332,814,80,5
1099,Male,47,Chennai,336327.2596,616,67,2
1100,Male,66,Chennai,363044.2299,653,2,2
1101,Female,20,Bengaluru,386949.5256,575,19,1
1102,Female,58,Chennai,548611.3616,576,28,2
1103,Male,42,Delhi,59873.62527,575,24,4
1104,Male,27,Bengaluru,49566.39,666,38,1
1105,Male,63,Chennai,385780.8768,876,59,2
1106,Female,28,Chennai,95882.3111,568,54,2
1107,Female,48,Kolkata,400021.3253,849,51,3
1108,Male,63,Delhi,351206.5319,564,79,4
1109,Male,45,Chennai,2577.057456,654,37,2
1110,Male,22,Mumbai,333149.3655,565,72,5
1111,Male,70,Chennai,171137.0662,782,12,2
1112,Female,65,Mumbai,352699.3398,667,78,5
1113,Female,41,Chennai,332877.7868,593,40,2
1114,Male,56,Delhi,238627.5838,606,15,4
1115,Female,51,Chennai,687212.7707,553,100,2
1116,Female,33,Delhi,279227.4118,827,25,4
1117,Female,69,Mumbai,355596.8965,559,10,5
1118,Female,21,Delhi,467350.1017,806,10,4
1119,Female,40,Kolkata,466464.8329,620,90,3
1120,Female,19,Delhi,327653.0355,857,8,4
1121,Male,62,Chennai,302975.1788,804,70,2
1122,Female,38,Mumbai,589901.0593,858,76,5
1123,Female,49,Delhi,41370.44656,695,13,4
1124,Male,30,Chennai,208227.1136,800,87,2
1125,Female,62,Mumbai,568519.0844,624,6,5
1126,Female,58,Kolkata,151571.5328,767,46,3
1127,Male,73,Chennai,217072.6811,630,35,2
1128,Male,66,Bengaluru,336463.0139,808,89,1
1129,Male,71,Bengaluru,487605.5371,790,100,1
1130,Male,54,Bengaluru,599442.5133,726,71,1
1131,Male,53,Kolkata,389042.5298,624,50,3
1132,Male,34,Mumbai,10349.41407,746,22,5
1133,Female,41,Delhi,198910.519,895,76,4
1134,Female,47,Kolkata,405487.9323,781,93,3
1135,Male,26,Mumbai,221839.2718,868,57,5
1136,Female,30,Delhi,260829.7117,894,85,4
1137,Female,55,Kolkata,133886.4033,707,96,3
1138,Male,43,Bengaluru,82638.67765,552,33,1
1139,Male,50,Mumbai,380765.8752,842,20,5
1140,Female,61,Chennai,101745.5371,567,7,2
1141,Female,37,Bengaluru,341134.7218,636,18,1
1142,Male,29,Bengaluru,274581.2169,756,22,1
1143,Female,26,Chennai,212645.6303,894,19,2
1144,Female,22,Kolkata,281654.8846,887,14,3
1145,Male,56,Mumbai,98371.75627,647,99,5
1146,Male,70,Mumbai,213942.2065,657,11,5
1147,Male,38,Delhi,5121.652342,607,42,4
1148,Female,37,Delhi,142909.4261,637,30,4
1149,Female,62,Bengaluru,651534.3098,884,23,1
1150,Male,19,Kolkata,365974.3719,551,77,3
1151,Male,46,Delhi,355468.056,892,73,4
1152,Male,50,Delhi,471770.9203,616,39,4
1153,Female,48,Kolkata,231493.99,886,94,3
1154,Female,53,Chennai,465350.4429,868,58,2
1155,Female,70,Bengaluru,127331.648,669,32,1
1156,Female,60,Mumbai,671028.1872,605,55,5
1157,Male,37,Kolkata,163664.207,854,22,3
1158,Female,57,Bengaluru,216758.2928,742,78,1
1159,Male,66,Bengaluru,193910.7081,803,36,1
1160,Female,27,Mumbai,22643.56036,707,93,5
1161,Female,21,Bengaluru,365100.1564,633,55,1
1162,Female,22,Delhi,534470.6945,827,85,4
1163,Male,18,Delhi,261938.9818,742,32,4
1164,Female,18,Delhi,330757.825,586,87,4
1165,Male,38,Chennai,514927.5894,581,9,2
1166,Female,23,Chennai,432732.181,786,54,2
1167,Male,21,Bengaluru,695407.0917,718,86,1
1168,Female,44,Chennai,285874.988,755,67,2
1169,Female,72,Mumbai,79113.55318,836,39,5
1170,Male,63,Chennai,260043.8576,725,77,2
1171,Male,50,Bengaluru,326077.0029,573,35,1
1172,Male,56,Mumbai,648085.0454,605,35,5
1173,Male,59,Bengaluru,101571.4983,890,45,1
1174,Male,44,Bengaluru,50434.47117,657,75,1
1175,Female,20,Mumbai,359566.4986,779,91,5
1176,Female,33,Mumbai,581177.2116,666,32,5
1177,Male,49,Kolkata,351979.4379,779,89,3
1178,Male,22,Chennai,634980.9806,844,21,2
1179,Male,64,Chennai,110492.7388,733,19,2
1180,Male,31,Delhi,266781.9511,571,61,4
1181,Female,53,Bengaluru,81891.02639,601,61,1
1182,Female,23,Bengaluru,268234.2246,701,92,1
1183,Male,26,Kolkata,195930.2286,838,94,3
1184,Female,63,Chennai,244212.5455,573,41,2
1185,Female,43,Chennai,241845.7525,896,4,2
1186,Male,62,Kolkata,197295.8156,824,47,3
1187,Female,74,Kolkata,118255.8374,615,75,3
1188,Male,66,Chennai,316199.317,770,11,2
1189,Female,45,Chennai,153779.277,831,44,2
1190,Female,62,Delhi,243936.1677,676,7,4
1191,Female,61,Delhi,103642.4697,559,96,4
1192,Female,47,Mumbai,115856.0369,784,34,5
1193,Male,74,Bengaluru,451973.2129,608,16,1
1194,Female,48,Bengaluru,192447.8216,568,45,1
1195,Female,48,Chennai,630148.5131,833,91,2
1196,Female,54,Delhi,317466.4207,601,52,4
1197,Female,20,Bengaluru,323305.5002,554,58,1
1198,Male,44,Chennai,109058.5443,844,36,2
1199,Male,28,Delhi,160116.893,837,24,4
1200,Male,41,Chennai,280081.3901,789,31,2
