Country,Income Classification,Severe Wasting,Wasting,Overweight,Stunting,Underweight,U5 Population ('000s)
AFGHANISTAN,0.0,3.033333333333333,10.35,5.125,47.775000000000006,30.375,4918.5615
ALBANIA,2.0,4.075,7.76,20.8,24.16,7.7,232.8598
ALGERIA,2.0,2.733333333333333,5.942857142857143,12.833333333333334,19.571428571428573,7.3428571428571425,3565.2131428571433
ANGOLA,1.0,2.4,6.933333333333333,2.55,42.63333333333333,23.600000000000005,3980.054
ARGENTINA,2.0,0.2,2.1500000000000004,11.125,10.025,2.5999999999999996,3613.6517499999995
ARMENIA,2.0,1.6,3.94,13.62,16.119999999999997,3.4800000000000004,204.1452
AUSTRALIA,3.0,0.0,0.0,13.875,1.0,0.1,1443.0745
AZERBAIJAN,2.0,2.5749999999999997,5.433333333333334,9.183333333333334,21.816666666666666,8.083333333333334,740.5016666666667
BAHRAIN,3.0,,6.699999999999999,7.5,13.75,6.949999999999999,63.370999999999995
BANGLADESH,1.0,2.813636363636364,14.5375,0.9625000000000002,54.229166666666664,46.26666666666666,15837.4275
BARBADOS,3.0,2.0,6.8,12.2,7.7,3.5,16.653
BELARUS,2.0,0.6,2.2,9.7,4.5,1.3,445.676
BELIZE,2.0,0.8333333333333334,2.333333333333333,9.6,18.766666666666666,5.300000000000001,36.1045
BENIN,0.0,2.425,7.7,2.275,35.375,20.125,1476.52575
BHUTAN,1.0,1.4000000000000001,4.525,5.1,44.25,17.8,74.79675
BOLIVIA (PLURINATIONAL STATE OF),1.0,0.7000000000000001,1.9,8.6,29.728571428571424,7.472727272727273,1104.222181818182
BOSNIA AND HERZEGOVINA,2.0,2.1999999999999997,4.566666666666666,19.8,10.933333333333332,2.466666666666667,194.15666666666667
BOTSWANA,2.0,2.85,8.8,10.05,31.03333333333333,12.666666666666666,226.70900000000003
BRAZIL,2.0,0.7,2.3,6.25,13.133333333333333,3.925,17071.496
BRUNEI DARUSSALAM,3.0,0.4,2.9,8.3,19.7,9.6,31.337
BULGARIA,2.0,1.5333333333333332,4.666666666666667,9.0,7.466666666666666,2.0,344.03733333333327
BURKINA FASO,0.0,4.1692307692307695,12.73076923076923,2.2500000000000004,33.346153846153854,25.076923076923073,2796.1906153846157
BURUNDI,0.0,1.2600000000000002,6.666666666666667,1.775,57.599999999999994,32.25,1497.888
CABO VERDE,1.0,,5.550000000000001,,24.1,12.75,60.583
CAMBODIA,1.0,3.483333333333334,11.466666666666667,3.033333333333333,43.68333333333333,31.983333333333334,1651.6621666666667
CAMEROON,1.0,1.8142857142857145,5.671428571428571,8.042857142857143,33.74285714285714,14.685714285714285,3170.714285714286
CANADA,3.0,,,10.4,,,1697.6029999999998
CENTRAL AFRICAN REPUBLIC (THE),0.0,3.16,8.766666666666667,5.380000000000001,41.78333333333333,23.36666666666667,673.2005
CHAD,0.0,5.5,15.239999999999998,3.0400000000000005,41.260000000000005,31.4,2024.2904000000003
CHILE,3.0,,0.4666666666666667,11.313333333333334,3.453333333333333,0.7466666666666666,1303.0801333333334
CHINA,2.0,0.9199999999999997,3.1749999999999994,7.027272727272727,20.6,7.900000000000001,97488.13341666665
COLOMBIA,2.0,0.3666666666666667,1.657142857142857,4.783333333333333,18.214285714285715,5.8571428571428585,4111.355285714286
COMOROS (THE),1.0,5.3999999999999995,10.125,12.466666666666667,39.125,19.575,90.28775
CONGO (THE),1.0,2.4333333333333336,7.2,4.875,26.724999999999998,13.099999999999998,614.63825
COSTA RICA,2.0,,1.7,8.8,6.8999999999999995,2.2375000000000003,408.972125
COTE D'IVOIRE,1.0,2.6,8.8,4.3,31.385714285714283,17.67142857142857,2943.459428571429
CUBA,2.0,,2.4,,7.0,3.4,750.4730000000001
CZECHIA,3.0,1.0,3.6999999999999997,5.550000000000001,2.9000000000000004,1.5,543.6065000000001
DEMOCRATIC PEOPLE'S REP. OF KOREA (THE),0.0,1.275,8.842857142857143,1.0666666666666667,40.300000000000004,23.12857142857143,1862.4604285714283
DEMOCRATIC REP. OF THE CONGO (THE),0.0,4.1499999999999995,10.860000000000001,5.75,45.46,26.839999999999996,10621.0802
DJIBOUTI,1.0,9.399999999999999,17.075,8.25,30.075000000000003,22.625,99.44525
DOMINICAN REPUBLIC (THE),2.0,0.7428571428571429,2.2125,6.7,12.749999999999998,5.1625,990.9735000000001
ECUADOR,2.0,0.58,2.183333333333333,5.720000000000001,28.75,8.316666666666666,1530.0248333333332
EGYPT,1.0,2.4875000000000003,5.79,13.762500000000001,28.5,8.639999999999999,8911.539818181818
EL SALVADOR,1.0,0.43333333333333335,1.7,4.75,26.600000000000005,7.766666666666667,696.23
EQUATORIAL GUINEA,2.0,2.425,4.775,8.85,35.65,11.425,115.38650000000001
ERITREA,0.0,4.633333333333333,14.6,1.6666666666666667,53.224999999999994,37.55,407.6545
ESWATINI,1.0,0.5999999999999999,1.7,11.425,32.5,6.8199999999999985,148.2304
